fk_name table_name column_name ref_table ref_column
------- ---------- ----------- --------- ----------
FK_HangFire_State_Job State JobId Job Id
FK_HangFire_JobParameter_Job JobParameter JobId Job Id
fk_publication_versions_publication publication_versions publication_id publications id
fk_publication_versions_user publication_versions changed_by_user_id users id
FK_publications_journals_journal_id publications journal_id journals id
FK_trending_metrics_keywords_keyword_id trending_metrics keyword_id keywords id
FK_admin_states_users_updated_by_user_id admin_states updated_by_user_id users id
FK_admin_support_tickets_users_created_by_user_id admin_support_tickets created_by_user_id users id
FK_follows_users_user_id follows user_id users id
FK_payment_transactions_users_user_id payment_transactions user_id users id
FK_sync_logs_users_triggered_by_user_id sync_logs triggered_by_user_id users id
FK_bookmarks_users_user_id bookmarks user_id users id
FK_bookmarks_publications_publication_id bookmarks publication_id publications id
FK_notifications_users_user_id notifications user_id users id
FK_notifications_publications_publication_id notifications publication_id publications id
FK_publication_authors_publications_publication_id publication_authors publication_id publications id
FK_publication_authors_authors_author_id publication_authors author_id authors id
FK_publication_keywords_publications_publication_id publication_keywords publication_id publications id
FK_publication_keywords_keywords_keyword_id publication_keywords keyword_id keywords id
FK_publication_submissions_users_submitter_user_id publication_submissions submitter_user_id users id
FK_publication_submissions_publications_published_publication_id publication_submissions published_publication_id publications id
FK_publication_submissions_users_reviewed_by_user_id publication_submissions reviewed_by_user_id users id

(22 rows affected)
